flow_type,scenario_type,viewport_type,network_condition,task_completed,task_failed,completion_time,click_count,scroll_count,keyboard_count,retry_count,error_count,failed_clicks,unnecessary_clicks,path_deviation_score,page_load_time_ms,dom_content_loaded_ms,time_to_first_byte_ms,feedback_delay_ms,interaction_to_next_paint_ms,cumulative_layout_shift,error_message_present,error_message_clarity,popup_detected,cookie_banner_detected,overlay_blocks_cta,friction_score,friction_level
landing_navigation,normal_landing,desktop,fast,1,0,1.039,1,0,0,0,0,0,0,0,83,82,73,99,74,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,0.973,1,0,0,0,0,0,0,0,97,97,61,95,70,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.572,1,0,0,0,0,0,0,0,69,68,57,91,67,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.502,1,0,0,0,0,0,0,0,68,67,57,93,69,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.549,1,0,0,0,0,0,0,0,140,140,104,69,43,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.501,1,0,0,0,0,0,0,0,98,98,87,116,89,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.398,1,0,0,0,0,0,0,0,67,67,57,89,65,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.515,1,0,0,0,0,0,0,0,123,123,88,93,67,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.561,1,0,0,0,0,0,0,0,82,82,72,89,64,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.544,1,0,0,0,0,0,0,0,83,83,73,109,82,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.572,1,0,0,0,0,0,0,0,138,138,102,102,77,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.312,1,0,0,0,0,0,0,0,65,65,55,96,71,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.288,1,0,0,0,0,0,0,0,69,69,59,69,45,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.52,1,0,0,0,0,0,0,0,51,51,41,67,43,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.498,1,0,0,0,0,0,0,0,38,37,27,87,62,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.591,1,0,0,0,0,0,0,0,154,154,121,116,87,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.59,1,0,0,0,0,0,0,0,130,130,120,97,73,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.471,1,0,0,0,0,0,0,0,99,98,87,113,86,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.59,1,0,0,0,0,0,0,0,129,129,72,89,64,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.508,1,0,0,0,0,0,0,0,77,77,41,91,65,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.377,1,0,0,0,0,0,0,0,116,116,106,113,87,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.631,1,0,0,0,0,0,0,0,133,132,119,108,73,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.531,1,0,0,0,0,0,0,0,143,143,104,85,56,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.379,1,0,0,0,0,0,0,0,70,69,59,114,88,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.431,1,0,0,0,0,0,0,0,96,96,86,105,78,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.466,1,0,0,0,0,0,0,0,101,101,90,110,84,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.554,1,0,0,0,0,0,0,0,93,93,57,87,61,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.542,1,0,0,0,0,0,0,0,127,127,90,86,59,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.574,1,0,0,0,0,0,0,0,84,83,73,104,79,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.407,1,0,0,0,0,0,0,0,128,128,116,113,85,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.533,1,0,0,0,0,0,0,0,145,145,135,100,73,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.42,1,0,0,0,0,0,0,0,84,83,73,94,67,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.322,1,0,0,0,0,0,0,0,53,52,42,113,86,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.331,1,0,0,0,0,0,0,0,52,52,41,95,66,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.296,1,0,0,0,0,0,0,0,107,107,72,93,66,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.364,1,0,0,0,0,0,0,0,66,66,56,92,66,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.415,1,0,0,0,0,0,0,0,53,52,41,110,82,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.54,1,0,0,0,0,0,0,0,52,52,42,107,80,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.356,1,0,0,0,0,0,0,0,67,67,57,94,66,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.522,1,0,0,0,0,0,0,0,132,131,121,111,84,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.589,1,0,0,0,0,0,0,0,95,95,57,99,75,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.47,1,0,0,0,0,0,0,0,83,82,73,90,66,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.598,1,0,0,0,0,0,0,0,129,129,119,94,70,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.363,1,0,0,0,0,0,0,0,131,130,120,97,73,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.552,1,0,0,0,0,0,0,0,115,114,105,96,72,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.245,1,0,0,0,0,0,0,0,52,51,42,68,44,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.515,1,0,0,0,0,0,0,0,152,152,117,79,55,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.497,1,0,0,0,0,0,0,0,114,114,104,96,70,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.545,1,0,0,0,0,0,0,0,89,89,57,92,67,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.253,1,0,0,0,0,0,0,0,57,57,26,97,72,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.38,1,0,0,0,0,0,0,0,53,53,42,84,59,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.483,1,0,0,0,0,0,0,0,84,84,74,89,65,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.324,1,0,0,0,0,0,0,0,102,101,91,68,43,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.358,1,0,0,0,0,0,0,0,83,82,73,69,47,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.477,1,0,0,0,0,0,0,0,77,77,42,67,43,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.406,1,0,0,0,0,0,0,0,69,69,58,92,69,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.246,1,0,0,0,0,0,0,0,52,52,42,104,80,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.419,1,0,0,0,0,0,0,0,82,81,71,96,67,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.382,1,0,0,0,0,0,0,0,53,52,42,92,67,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.349,1,0,0,0,0,0,0,0,82,82,72,96,72,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.393,1,0,0,0,0,0,0,0,113,112,102,88,64,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.396,1,0,0,0,0,0,0,0,76,76,42,88,64,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.585,1,0,0,0,0,0,0,0,133,132,122,94,69,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.399,1,0,0,0,0,0,0,0,73,73,41,99,74,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.437,1,0,0,0,0,0,0,0,153,153,105,87,62,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.576,1,0,0,0,0,0,0,0,140,140,104,69,45,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.408,1,0,0,0,0,0,0,0,133,133,122,98,73,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.49,1,0,0,0,0,0,0,0,84,84,74,96,71,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.22,1,0,0,0,0,0,0,0,51,51,41,80,56,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.598,1,0,0,0,0,0,0,0,126,126,90,91,66,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.3,1,0,0,0,0,0,0,0,68,68,58,89,64,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.445,1,0,0,0,0,0,0,0,52,51,41,98,70,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.295,1,0,0,0,0,0,0,0,91,91,56,87,63,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.289,1,0,0,0,0,0,0,0,110,110,73,88,63,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.56,1,0,0,0,0,0,0,0,106,106,73,97,71,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.26,1,0,0,0,0,0,0,0,105,105,73,69,44,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,normal,1,0,1.303,1,0,0,0,0,0,0,0,115,114,104,94,70,0,0,-1,0,0,0,0,Low
